年度,縣市,用電性質,用電比例,,
2024,澎湖縣,服務業,38.78,,
2024,澎湖縣,機關(政府+包燈+大專院校),8.96,,
2024,澎湖縣,工業,10.87,,
2024,澎湖縣,其他,0.96,,
2024,金門縣,住宅,41.21,,
2024,金門縣,服務業,34.58,,
2024,金門縣,機關(政府+包燈+大專院校),11.85,,
2024,金門縣,工業,11.3,,
2024,金門縣,其他,1.06,,
2024,連江縣,住宅,36.52,,
2024,連江縣,服務業,42.91,,
2024,連江縣,機關(政府+包燈+大專院校),10.81,,
2024,連江縣,工業,9.67,,
2024,連江縣,其他,0.09,,
2023,新北市,住宅,41.08,,
2023,新北市,服務業,28.99,,
2023,新北市,機關(政府+包燈+大專院校),3.05,,
2023,新北市,工業,26.77,,
2023,新北市,其他,0.11,,
2023,台北市,住宅,32.98,,
2023,台北市,服務業,54.55,,
2023,台北市,機關(政府+包燈+大專院校),8.46,,
2023,台北市,工業,3.99,,
2023,台北市,其他,0.02,,
2023,桃園市,住宅,18.42,,
2023,桃園市,服務業,15.38,,
2023,桃園市,機關(政府+包燈+大專院校),1.77,,
2023,桃園市,工業,64.24,,
2023,桃園市,其他,0.19,,
2023,台中市,住宅,19.15,,
2023,台中市,服務業,16.74,,
2023,台中市,機關(政府+包燈+大專院校),2.05,,
2023,台中市,工業,61.56,,
2023,台中市,其他,0.49,,
2023,台南市,住宅,12.78,,
2023,台南市,服務業,9.02,,
2023,台南市,機關(政府+包燈+大專院校),1.4,,
2023,台南市,工業,75.46,,
2023,台南市,其他,1.34,,
2023,高雄市,住宅,19.66,,
2023,高雄市,服務業,17.48,,
2023,高雄市,機關(政府+包燈+大專院校),2.7,,
2023,高雄市,工業,59.32,,
2023,高雄市,其他,0.85,,
2023,宜蘭縣,住宅,27.82,,
2023,宜蘭縣,服務業,22.37,,
2023,宜蘭縣,機關(政府+包燈+大專院校),3.72,,
2023,宜蘭縣,工業,44.12,,
2023,宜蘭縣,其他,1.96,,
2023,新竹縣,住宅,12.02,,
2023,新竹縣,服務業,8.71,,
2023,新竹縣,機關(政府+包燈+大專院校),1.12,,
2023,新竹縣,工業,77.95,,
2023,新竹縣,其他,0.19,,
2023,苗栗縣,住宅,15,,
2023,苗栗縣,服務業,8.82,,
2023,苗栗縣,機關(政府+包燈+大專院校),1.7,,
